anime,end,information,score,start
Fullmetal Alchemist: Brotherhood,2010,"|TV (64 eps)|Apr 2009 - Jul 2010|2,090,273 members|",9.21,2009
Steins;Gate,2011,"|TV (24 eps)|Apr 2011 - Sep 2011|1,681,837 members|",9.12,2011
Gintama°,2016,"|TV (51 eps)|Apr 2015 - Mar 2016|378,593 members|",9.11,2015
Hunter x Hunter (2011),2014,"|TV (148 eps)|Oct 2011 - Sep 2014|1,529,228 members|",9.11,2011
Shingeki no Kyojin Season 3 Part 2,2019,"|TV (10 eps)|Apr 2019 - Jul 2019|899,833 members|",9.09,2019
Ginga Eiyuu Densetsu,1997,"|OVA (110 eps)|Jan 1988 - Mar 1997|218,126 members|",9.08,1988
Gintama',2012,"|TV (51 eps)|Apr 2011 - Mar 2012|346,754 members|",9.08,2011
Shingeki no Kyojin: The Final Season,NA,"|TV (16 eps)|Dec 2020 - |395,509 members|",9.07,2020
Gintama': Enchousen,2013,"|TV (13 eps)|Oct 2012 - Mar 2013|210,755 members|",9.04,2012
3-gatsu no Lion 2nd Season,2018,"|TV (22 eps)|Oct 2017 - Mar 2018|247,547 members|",9.01,2017
Koe no Katachi,2016,"|Movie (1 eps)|Sep 2016 - Sep 2016|1,257,619 members|",9,2016
Kimi no Na wa.,2016,"|Movie (1 eps)|Aug 2016 - Aug 2016|1,598,803 members|",8.99,2016
Gintama.,2017,"|TV (12 eps)|Jan 2017 - Mar 2017|188,999 members|",8.98,2017
Gintama,2010,"|TV (201 eps)|Apr 2006 - Mar 2010|718,045 members|",8.97,2006
Clannad: After Story,2009,"|TV (24 eps)|Oct 2008 - Mar 2009|875,877 members|",8.96,2008
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,2013,"|Movie (1 eps)|Jul 2013 - Jul 2013|163,614 members|",8.96,2013
Owarimonogatari 2nd Season,2017,"|TV (7 eps)|Aug 2017 - Aug 2017|257,932 members|",8.94,2017
Code Geass: Hangyaku no Lelouch R2,2008,"|TV (25 eps)|Apr 2008 - Sep 2008|1,206,854 members|",8.91,2008
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,2016,"|TV (10 eps)|Oct 2016 - Dec 2016|653,471 members|",8.89,2016
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,2018,"|TV (14 eps)|Jul 2018 - Oct 2018|105,243 members|",8.85,2018
Mob Psycho 100 II,2019,"|TV (13 eps)|Jan 2019 - Apr 2019|756,137 members|",8.85,2019
Sen to Chihiro no Kamikakushi,2001,"|Movie (1 eps)|Jul 2001 - Jul 2001|1,174,591 members|",8.84,2001
