anime,progress,score,type
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,- / 24 ,8,TV
One Piece,- / - ,8,TV
Shingeki no Kyojin: The Final Season,- / 16 ,10,TV
Akagami no Shirayuki-hime, 12 ,5,TV
Bleach, 366 ,7,TV
Blend S, 12 ,6,TV
Bungou Stray Dogs, 12 ,6,TV
Cardcaptor Sakura, 70 ,7,TV
Chuuka Ichiban!, 52 ,7,TV
Code Geass: Hangyaku no Lelouch, 25 ,7,TV
Code Geass: Hangyaku no Lelouch R2, 25 ,8,TV
Darker than Black: Kuro no Keiyakusha, 25 ,8,TV
Death Note, 37 ,7,TV
Detective Conan Movie 06: The Phantom of Baker Street, 1 ,7,Movie
Dr. Stone, 24 ,7,TV
Durarara!!, 24 ,8,TV
Durarara!!x2 Ketsu, 12 ,7,TV
Fate/Zero, 13 ,7,TV
Fruits Basket 1st Season, 25 ,4,TV
Full Metal Panic? Fumoffu, 12 ,7,TV
Fullmetal Alchemist: Brotherhood, 64 ,8,TV
Gekkan Shoujo Nozaki-kun Specials, 6 ,7,Special
Golden Kamuy, 12 ,8,TV
Golden Kamuy 2nd Season, 12 ,7,TV
Golden Kamuy 3rd Season, 12 ,8,TV
Gosick, 24 ,5,TV
Guilty Crown, 22 ,4,TV
Haikyuu!!, 25 ,7,TV
Haikyuu!! Second Season, 25 ,8,TV
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou, 10 ,8,TV
Haikyuu!!: To the Top, 13 ,7,TV
Hakkenden: Touhou Hakken Ibun, 13 ,7,TV
Hataraku Maou-sama!, 13 ,7,TV
Himouto! Umaru-chan, 12 ,7,TV
Houseki no Kuni (TV), 12 ,9,TV
Howl no Ugoku Shiro, 1 ,10,Movie
JoJo no Kimyou na Bouken (TV), 26 ,7,TV
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai, 39 ,7,TV
K, 13 ,6,TV
K-On!!, 26 ,7,TV
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen, 12 ,7,TV
